osm_id,category,lat,lon,name
5343809421,supermarket,-1.2729908,36.8189504,Broadline Supermarket
5414335721,supermarket,-1.2945013,36.7983291,Safeway Hypermarkets
5539620101,supermarket,-1.2733518,36.8175947,Nilkanth General Supermarket
6171147716,supermarket,-1.2705182,36.8118184,Chiknik Distributors
8164646791,supermarket,-1.2824691,36.8159837,Naivas
8883032995,supermarket,-1.2814534,36.8181534,Naivas Lifestyle
8901162637,supermarket,-1.2981566,36.7831953,QuickMart
9587521823,supermarket,-1.2930205,36.7928528,QuickMart
10925121156,supermarket,-1.2911055,36.7882856,Naivas
13059881904,supermarket,-1.2749836,36.7947583,Jaza supermarket
13392069959,supermarket,-1.2950403,36.809599,Carrefour
13952691501,supermarket,-1.2925654,36.7856369,Naivas Food Market
911044039,pharmacy,-1.2944971,36.8068848,Upper Hill Medical Centre
5378551736,pharmacy,-1.2928967,36.8160717,Lords Healthcare Ltd
5383781991,pharmacy,-1.2897838,36.8115114,Haltons Pharmacy
5414200513,pharmacy,-1.2952192,36.7979745,Rosegate Pharmacy
5414200519,pharmacy,-1.2947068,36.7971086,Malibu Pharmacy Ltd
5414280550,pharmacy,-1.2929993,36.7879856,Yaya Chemists Limited
5414335722,pharmacy,-1.2943735,36.7986474,Linkemmed Pharmacy
5974660917,pharmacy,-1.2772579,36.8164101,Seropharm E.A
6007565090,pharmacy,-1.2960739,36.8082268,5th Avenue Ngong Pharmacy
12157721102,pharmacy,-1.2816266,36.816808,Pharmaplus
12162052302,pharmacy,-1.2854169,36.8190672,GoodLife Pharmacy
13952691701,pharmacy,-1.2925595,36.7857564,Pharmaplus
5414280557,clothes,-1.2928591,36.7877443,Mr Price
10902369105,clothes,-1.2747324,36.8195812,
